country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Argentina Global Rank
Argentina,2026,46003734,0.33%,152356,2316,33.3,1.51,17,96.5%,44416126,0.55%,8300678395,35
Argentina,2025,45851378,0.34%,155219,2859,32.9,1.5,17,96%,44010474,0.56%,8231613070,35
Argentina,2024,45696159,0.35%,157758,3454,32.5,1.5,17,95.4%,43600665,0.56%,8161972572,35
Argentina,2023,45538401,0.29%,130497,4133,32.1,1.5,17,94.8%,43186763,0.56%,8091734930,34
Argentina,2022,45407904,0.24%,107970,5589,31.7,1.48,17,94.2%,42768727,0.57%,8021407192,34
Argentina,2020,45191965,0.78%,342991,292,31.1,1.6,17,92.8%,41919857,0.57%,7887001292,32
Argentina,2015,43477012,1.04%,437664,5464,29.9,2.35,16,91.4%,39728358,0.58%,7470491872,32
Argentina,2010,41288694,1.03%,414381,−5003,28.9,2.41,15,90.7%,37451589,0.59%,7021732148,32
Argentina,2005,39216789,1.05%,400561,−22068,27.8,2.43,14,89.9%,35243134,0.6%,6586970132,30
Argentina,2000,37213984,1.19%,428793,−22775,26.8,2.59,14,88.8%,33033759,0.6%,6171702993,31
