country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Bangladesh Global Rank
Bangladesh,2026,177818044,1.21%,2131145,−371398,26.3,2.09,1366,43.2%,76838908,2.1%,8300678395,8
Bangladesh,2025,175686899,1.22%,2124535,−402100,26,2.11,1350,42.6%,74837709,2.1%,8231613070,8
Bangladesh,2024,173562364,1.22%,2095374,−473362,25.7,2.14,1333,42%,72825128,2.1%,8161972572,8
Bangladesh,2023,171466990,1.23%,2082093,−549918,25.3,2.16,1317,41.3%,70806614,2.1%,8091734930,8
Bangladesh,2022,169384897,0.92%,1543437,−549990,25,2.18,1301,40.6%,68791790,2.1%,8021407192,8
Bangladesh,2020,166298024,0.85%,1382969,−1002522,24.6,2.17,1278,39%,64814953,2.1%,7887001292,8
Bangladesh,2015,159383179,0.93%,1436240,−909223,23.5,2.23,1224,34.7%,55305132,2.1%,7470491872,8
Bangladesh,2010,152201981,1.01%,1497239,−1113727,21.9,2.38,1169,30.5%,46347089,2.2%,7021732148,8
Bangladesh,2005,144715786,1.47%,2034296,−1036635,20.7,2.85,1112,26.6%,38452976,2.2%,6586970132,8
Bangladesh,2000,134544304,1.88%,2388787,−512422,19.7,3.28,1034,23.1%,31040651,2.2%,6171702993,8
Bangladesh,1995,122600370,1.89%,2193331,−231304,18.4,3.59,942,21%,25751454,2.1%,5758878982,9
Bangladesh,1990,111633717,2.17%,2275978,−404105,17.4,4.51,858,18.8%,21037450,2.1%,5327803110,9
Bangladesh,1985,100253825,2.64%,2447479,−287872,16.7,5.54,770,16.3%,16305971,2.1%,4868943465,8
Bangladesh,1980,88016432,2.48%,2032416,−515918,16.5,6.33,676,13.7%,12099053,2%,4447606236,8
Bangladesh,1975,77854351,2.43%,1759091,−390212,16.3,6.73,598,9%,7013461,1.9%,4070735277,9
Bangladesh,1970,69058894,2.89%,1831275,−73719,16.8,6.84,531,7.2%,4938975,1.9%,3694683794,9
Bangladesh,1965,59902519,2.94%,1614772,47610,17.5,6.77,460,5.8%,3467675,1.8%,3334533703,9
Bangladesh,1960,51828660,2.52%,1212195,13580,17.9,6.74,398,4.8%,2474987,1.7%,3015470894,10
Bangladesh,1955,45767684,2.12%,912166,−30640,18.3,6.5,352,4.3%,1974441,1.7%,2740213792,11
