country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,China Global Rank
China,2026,1412914089,−0.22%,−3182005,−232107,40.6,1.03,150,68.7%,970433085,17%,8300678395,2
China,2025,1416096094,−0.23%,−3225184,−268126,40.1,1.02,151,67.5%,956553854,17.2%,8231613070,2
China,2024,1419321278,−0.23%,−3263655,−318992,39.6,1.01,151,66.4%,941865672,17.4%,8161972572,2
China,2023,1422584933,−0.18%,−2594636,−567724,39.1,1,152,65.1%,926375811,17.6%,8091734930,2
China,2022,1425179569,−0.03%,−463262,−293846,38.5,1.03,152,63.9%,910080750,17.8%,8021407192,2
China,2020,1426106093,0.43%,5994384,−91577,37.5,1.24,152,61.4%,875075919,18.1%,7887001292,1
China,2015,1396134174,0.65%,8914532,−646941,35.7,1.67,149,55.5%,775352918,18.7%,7470491872,1
China,2010,1351561514,0.63%,8306876,−184144,34.1,1.69,144,49.5%,669353557,19.2%,7021732148,1
China,2005,1310027136,0.63%,8089192,−103701,31.8,1.62,140,42.9%,561983323,19.9%,6586970132,1
China,2000,1269581175,0.8%,9889450,−62622,29,1.63,135,36.3%,460377048,20.6%,6171702993,1
China,1995,1220133927,1.13%,13310241,−365986,26.1,1.59,130,31.5%,383901711,21.2%,5758878982,1
China,1990,1153582724,1.71%,18754981,−11187,23.7,2.51,123,26.9%,310022147,21.7%,5327803110,1
China,1985,1059807820,1.51%,15328856,−60929,21.7,2.63,113,23.1%,244946241,21.8%,4868943465,1
China,1980,983163542,1.42%,13409350,−20129,20.9,2.74,105,19.6%,192392094,22.1%,4447606236,1
China,1975,916116793,2.16%,18561565,−115173,19.1,3.57,98,17.5%,160244444,22.5%,4070735277,1
China,1970,823308967,2.62%,19978647,−126510,18,6.08,88,17.4%,143513192,22.3%,3694683794,1
China,1965,723415733,2.01%,13722733,−130900,18.5,6.61,77,18.1%,130684595,21.7%,3334533703,1
China,1960,654802069,1.64%,10251012,−16927,19.9,4.45,70,16.3%,106561743,21.7%,3015470894,1
China,1955,603547007,2.1%,11900530,−2402,20.7,6.26,64,14%,84639825,22%,2740213792,1
