country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Indonesia Global Rank
Indonesia,2026,287886782,0.76%,2165546,−39472,30.7,2.08,159,60.3%,173513303,3.5%,8300678395,4
Indonesia,2025,285721236,0.79%,2233305,−39509,30.4,2.1,158,59.6%,170361295,3.5%,8231613070,4
Indonesia,2024,283487931,0.82%,2297864,−38469,30.1,2.12,156,59%,167176839,3.5%,8161972572,4
Indonesia,2023,281190067,0.85%,2359538,−37501,29.8,2.13,155,58.3%,163963233,3.5%,8091734930,4
Indonesia,2022,278830529,0.73%,2007832,−37501,29.6,2.15,154,57.6%,160724456,3.5%,8021407192,4
Indonesia,2020,274814866,0.98%,2603123,−18743,29.1,2.19,152,56.1%,154188546,3.5%,7887001292,4
Indonesia,2015,261799249,1.23%,3098785,−28487,27.9,2.35,145,52.6%,137634761,3.5%,7470491872,4
Indonesia,2010,246305322,1.3%,3086734,−57752,26.6,2.46,136,49.1%,121052980,3.5%,7021732148,4
Indonesia,2005,230871650,1.33%,2958772,−76784,25.2,2.45,127,45.1%,104155654,3.5%,6586970132,4
Indonesia,2000,216077790,1.57%,3237947,−42697,23.6,2.5,119,41.1%,88851487,3.5%,6171702993,4
Indonesia,1995,199888057,1.73%,3277392,−1643,22.1,2.81,110,35.5%,71053577,3.5%,5758878982,4
Indonesia,1990,183501098,1.93%,3344983,11539,20.6,3.11,101,30.2%,55491343,3.4%,5327803110,4
Indonesia,1985,166776185,2.29%,3565129,37451,19.3,3.73,92,25.8%,43049412,3.4%,4868943465,4
Indonesia,1980,148950540,2.47%,3421338,42254,18.4,4.5,82,21.9%,32601807,3.3%,4447606236,4
Indonesia,1975,131843848,2.65%,3237271,56386,17.8,5.03,73,19.2%,25252096,3.2%,4070735277,5
Indonesia,1970,115657495,2.67%,2858473,81368,17.9,5.49,64,17%,19603959,3.1%,3694683794,5
Indonesia,1965,101365130,2.8%,2613812,−61145,18.8,5.59,56,15.6%,15838170,3%,3334533703,5
Indonesia,1960,88296070,2.7%,2204513,101631,19.1,5.5,49,14.5%,12805184,2.9%,3015470894,6
Indonesia,1955,77273507,2.35%,1694896,92424,18.8,5.36,43,13.5%,10404671,2.8%,2740213792,6
