country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Nigeria Global Rank
Nigeria,2026,242431832,2.06%,4904050,−2810,18.3,4.21,266,55.8%,135288691,2.9%,8300678395,6
Nigeria,2025,237527782,2.08%,4848304,−15258,18.1,4.3,261,54.9%,130312056,2.9%,8231613070,6
Nigeria,2024,232679478,2.1%,4796533,−35202,17.9,4.38,255,53.9%,125447884,2.9%,8161972572,6
Nigeria,2023,227882945,2.12%,4732049,−57936,17.8,4.48,250,53%,120696717,2.8%,8091734930,6
Nigeria,2022,223150896,2.12%,4577358,−51680,17.6,4.55,245,52%,116057853,2.8%,8021407192,6
Nigeria,2020,213996181,2.33%,4664861,−14497,17.2,4.7,235,50.1%,107112526,2.7%,7887001292,6
Nigeria,2015,190671878,2.73%,4805798,−116162,16.7,5.5,209,45.5%,86673094,2.6%,7470491872,7
Nigeria,2010,166642886,2.82%,4325127,47966,16.7,5.95,183,41.4%,68949828,2.4%,7021732148,7
Nigeria,2005,145017253,2.79%,3726952,−17146,16.8,6.06,159,37.4%,54288918,2.2%,6586970132,7
Nigeria,2000,126382494,2.66%,3112613,74535,16.8,6.12,139,33.7%,42627440,2%,6171702993,10
Nigeria,1995,110819428,2.67%,2739701,73243,16.5,6.27,122,31.4%,34785545,1.9%,5758878982,10
Nigeria,1990,97120925,2.73%,2444590,135959,16.2,6.46,107,29.1%,28276132,1.8%,5327803110,10
Nigeria,1985,84897973,2.85%,2226666,61514,16.2,6.62,93,25.2%,21434266,1.7%,4868943465,10
Nigeria,1980,73764641,3.07%,2070765,198672,16.7,6.85,81,21.9%,16139321,1.7%,4447606236,11
Nigeria,1975,63410815,2.56%,1503395,75603,17.3,6.77,70,19.8%,12535584,1.6%,4070735277,11
Nigeria,1970,55893838,2.22%,1161415,7953,17.9,6.47,61,17.8%,9942297,1.5%,3694683794,11
Nigeria,1965,50086764,2.14%,1006596,32988,18.3,6.37,55,16.6%,8296771,1.5%,3334533703,13
Nigeria,1960,45053782,1.94%,823629,12131,18.3,6.36,49,15.4%,6955737,1.5%,3015470894,14
Nigeria,1955,40935635,1.89%,730525,−12617,18.2,6.4,45,12.1%,4952844,1.5%,2740213792,13
