country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,Pakistan Global Rank
Pakistan,2026,259299791,1.6%,4080237,−1144738,20.8,3.44,336,34.7%,89987063,3.1%,8300678395,5
Pakistan,2025,255219554,1.57%,3950390,−1235336,20.6,3.5,331,34.4%,87777053,3.1%,8231613070,5
Pakistan,2024,251269164,1.52%,3764669,−1401173,20.4,3.55,326,34.1%,85615064,3.1%,8161972572,5
Pakistan,2023,247504495,1.56%,3803828,−1619557,20.3,3.6,321,33.7%,83500516,3.1%,8091734930,5
Pakistan,2022,243700667,1.83%,4349461,−1322625,20.1,3.66,316,33.4%,81432849,3%,8021407192,5
Pakistan,2020,235001746,1.58%,3542173,−559291,19.8,3.77,305,33%,77437729,3%,7887001292,5
Pakistan,2015,217290883,1.75%,3610367,−2172162,19.2,3.99,282,31.4%,68226783,2.9%,7470491872,5
Pakistan,2010,199239047,2.58%,4757167,−431902,18.8,4.4,258,30%,59691513,2.8%,7021732148,5
Pakistan,2005,175453212,2.53%,4114817,−189899,17.8,4.59,228,29.8%,52301807,2.7%,6586970132,6
Pakistan,2000,154879127,2.85%,4059375,252869,17,5.35,201,29.5%,45687389,2.5%,6171702993,6
Pakistan,1995,134582253,2.99%,3685335,11534,16.6,5.89,175,29.1%,39104110,2.3%,5758878982,7
Pakistan,1990,116155576,3.41%,3585258,275242,16.9,6.36,151,28.3%,32923693,2.2%,5327803110,8
Pakistan,1985,98229285,3.6%,3187655,68860,17.1,6.58,127,27.5%,27060895,2%,4868943465,9
Pakistan,1980,82291010,3.45%,2565967,1078229,17.1,6.73,107,26.6%,21910455,1.9%,4447606236,9
Pakistan,1975,69461175,2.91%,1858891,−1710,16.8,6.81,90,25.3%,17592808,1.7%,4070735277,10
Pakistan,1970,60166719,2.88%,1591542,−58281,17.1,6.8,78,24%,14416426,1.6%,3694683794,10
Pakistan,1965,52209010,2.69%,1299940,−62070,17.8,6.8,68,22.9%,11954323,1.6%,3334533703,11
Pakistan,1960,45709310,2.65%,1122248,0,18,6.8,59,21.7%,9926658,1.5%,3015470894,13
Pakistan,1955,40098069,2.27%,849762,50005,17.9,6.8,52,19.9%,7968418,1.5%,2740213792,14
