country,Year,Population,Yearly % Change,Yearly Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Pop %,Urban Population,Country's Share of World Pop,World Population,U.S. Global Rank
United States,2026,349035494,0.51%,1759687,1177848,38.7,1.63,38,83.1%,290150111,4.2%,8300678395,3
United States,2025,347275807,0.54%,1849236,1230663,38.5,1.62,38,82.8%,287421363,4.2%,8231613070,3
United States,2024,345426571,0.57%,1949236,1286132,38.3,1.62,38,82.4%,284698234,4.2%,8161972572,3
United States,2023,343477335,0.57%,1943289,1322668,38,1.62,38,82.1%,281984165,4.2%,8091734930,3
United States,2022,341534046,0.31%,1048944,1319009,37.7,1.67,37,81.8%,279286931,4.3%,8021407192,3
United States,2020,339436159,0.8%,2661932,329769,37.2,1.62,37,80.7%,273975139,4.3%,7887001292,3
United States,2015,326126497,0.95%,3012741,1722127,36.4,1.83,36,80.1%,261287811,4.4%,7470491872,3
United States,2010,311062790,1.02%,3069225,1594453,35.9,1.92,34,80.1%,249297076,4.4%,7021732148,3
United States,2005,295716664,0.99%,2846507,1369224,35.2,2.04,32,79.8%,235892407,4.5%,6586970132,3
United States,2000,281484131,0.97%,2655667,1248392,34.3,2.03,31,79.2%,222927913,4.6%,6171702993,3
United States,1995,268205795,1.14%,2966482,1173016,33.1,1.97,29,76.5%,205240402,4.7%,5758878982,3
United States,1990,253373387,0.95%,2336589,1084720,31.9,2.07,28,75%,190156233,4.8%,5327803110,3
United States,1985,241690443,1.01%,2366358,598777,30.4,1.85,26,74.2%,179400645,5%,4868943465,3
United States,1980,229858655,0.96%,2145871,595916,29.1,1.86,25,73.7%,169422683,5.2%,4447606236,3
United States,1975,219129301,1.07%,2266592,655078,27.6,1.81,24,73.7%,161450209,5.4%,4070735277,3
United States,1970,207796339,1.21%,2428513,744902,26.7,2.52,23,74.2%,154262109,5.6%,3694683794,3
United States,1965,195653774,1.65%,3075844,644902,27,2.98,21,73.4%,143624659,5.9%,3334533703,3
United States,1960,180274555,1.64%,2814906,422708,28.3,3.73,20,72.5%,130757407,6%,3015470894,3
United States,1955,166200024,1.51%,2399469,18234,29,3.52,18,69.4%,115375863,6.1%,2740213792,3
